Att Steve,1247,190.85
Anjanette Vanasse,9682,208.13
Fredda Sunderman,6791,70.98
Terese Tilford,6186,21.55
Hugo Henke,7694,75
Hugo Henke,6196,476.92
Janay Concepcion,9530,85.45
Terese Tilford,1537,78.44
Roger Betz,5012,310.53
Lillian Kridler,8543,63.08
Gina Hoar,7946,136.2
Bebe Hawbaker,9778,185.47
Lorie Edward,8291,324.26
Raleigh More,9359,104.63
Yi Corvin,3943,348.97
Elden Delafuente,7408,376.09
Jann Froehlich,2197,149.53
Asha Mahmood,2443,196.11
Yi Corvin,1700,302.58
Lillian Kridler,5991,358.8
Lorie Edward,1144,167.12
Elden Delafuente,5294,441.65
Raleigh More,6366,403.53
Horacio Pahl,5701,447.99
Att Steve,1517,244.92
